httpexampleorgagent4profilecardme sheryl275 35969 Q0 vldb_pod36-7984 1 0.26561108 my_run
httpexampleorgagent4profilecardme sheryl275 35969 Q0 vldb_pod29-871 2 0.25959378 my_run
httpexampleorgagent4profilecardme sheryl275 35969 Q0 vldb_pod17-2410 3 0.25753716 my_run
httpexampleorgagent4profilecardme sheryl275 35969 Q0 vldb_pod40-211 4 0.2570629 my_run
httpexampleorgagent4profilecardme sheryl275 35969 Q0 vldb_pod34-7628 5 0.255801 my_run
httpexampleorgagent4profilecardme sheryl275 35969 Q0 vldb_pod3-2823 6 0.25447676 my_run
httpexampleorgagent4profilecardme sheryl275 35969 Q0 vldb_pod3-9112 7 0.24157503 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-1420 1 0.52265435 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-7246 2 0.4775874 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-9350 3 0.43923026 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-5959 4 0.26806387 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-2965 5 0.26646256 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-2576 6 0.26633736 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-8873 7 0.26382285 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-1773 8 0.2636055 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-6638 9 0.26344308 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod31-2323 10 0.2621125 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-5273 11 0.2620294 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-7229 12 0.2611999 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-1488 13 0.25747734 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-6227 14 0.25707603 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-9185 15 0.25687224 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod31-5817 16 0.2554237 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-7602 17 0.2549399 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-5629 18 0.25414246 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-9472 19 0.25233334 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-3321 20 0.2519379 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-1729 21 0.25170535 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-7495 22 0.25157815 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-5996 23 0.25127268 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-8527 24 0.25109345 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-8632 25 0.2460452 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-6725 26 0.24172707 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-1761 27 0.24077804 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod31-3479 28 0.24061473 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod31-682 29 0.23984176 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-1843 30 0.23411489 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-1190 31 0.22459118 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-4817 32 0.22362646 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-908 33 0.2235044 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-9276 34 0.22301629 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod31-1329 35 0.22242314 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-5210 36 0.20942372 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-5213 37 0.20651636 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-6611 38 0.18292129 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-1300 39 0.18269047 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-6137 40 0.18254101 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-2091 41 0.18136702 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-6437 42 0.1802202 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-8043 43 0.13597426 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-7120 44 0.135785 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-4838 45 0.13493976 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod28-380 46 0.13448046 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-1462 47 0.13379735 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-717 48 0.1332355 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod15-2449 49 0.13287142 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-5550 50 0.13277635 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-3978 51 0.13270344 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-8609 52 0.13257873 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod31-8956 53 0.13245308 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod29-3105 54 0.131903 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-3275 55 0.13174966 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod31-1750 56 0.13174449 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod7-3130 57 0.13101158 my_run
httpexampleorgagent4profilecardme will178 bartell116 Q0 vldb_pod26-3177 58 0.13095523 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod40-4970 1 0.28516826 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod27-3104 2 0.2843219 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod4-7221 3 0.2840464 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-1395 4 0.27659217 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-2386 5 0.2755528 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-3558 6 0.26399907 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-2367 7 0.2598159 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-3519 8 0.25814885 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-4018 9 0.25774622 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-2562 10 0.25756386 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-9345 11 0.25543943 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-678 12 0.25172684 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod4-892 13 0.25076437 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-5099 14 0.24739651 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod40-8519 15 0.2411353 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-8299 16 0.24071723 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-4893 17 0.24022432 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-3548 18 0.23540714 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-967 19 0.23408207 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-6243 20 0.23389477 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-1486 21 0.23269507 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod4-2309 22 0.22472093 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-4420 23 0.20889558 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod27-4958 24 0.20705315 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod4-6813 25 0.20630893 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod4-1588 26 0.18437026 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-281 27 0.18411809 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-2142 28 0.1836956 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-614 29 0.18310174 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod40-9394 30 0.18270813 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod27-8479 31 0.18196371 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-6962 32 0.1806292 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-3890 33 0.18018761 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod39-7692 34 0.1798013 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod27-6031 35 0.13620052 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod4-1777 36 0.13555081 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-7584 37 0.13541223 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod47-5728 38 0.13532124 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod40-6887 39 0.13387358 my_run
httpexampleorgagent4profilecardme vicente970 Q0 vldb_pod5-3619 40 0.13295616 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod14-8991 1 0.28472632 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod9-7945 2 0.2845395 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod9-5859 3 0.2844046 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod5-7725 4 0.28421524 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod16-3407 5 0.28108016 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod34-998 6 0.2724573 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod3-3462 7 0.26871184 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod34-6635 8 0.26424086 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod5-7378 9 0.26331398 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod34-3590 10 0.2622019 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod3-1300 11 0.26190913 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod34-7968 12 0.26060084 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod5-2265 13 0.25964826 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod3-1115 14 0.25964788 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod5-8796 15 0.25821412 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod16-7649 16 0.25814077 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod14-2786 17 0.25750044 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod34-1613 18 0.25589332 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod14-6904 19 0.25475144 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod9-4933 20 0.25125623 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod5-442 21 0.247713 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod9-226 22 0.24702173 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod3-3392 23 0.24610734 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod14-1001 24 0.24607226 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod16-7161 25 0.2404682 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod5-6810 26 0.23533127 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod3-9047 27 0.2346515 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod5-5429 28 0.23422882 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod16-3111 29 0.23400189 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod3-7522 30 0.23238356 my_run
httpexampleorgagent4profilecardme noelle559 Q0 vldb_pod14-4031 31 0.22471446 my_run
